ID Year,Year,ID University,University,ID CIP6,CIP6,Completions,Slug University,ID Sex,Sex
2017,"2017","153603","Iowa State University","141901","Mechanical Engineering",38,"iowa-state-university",2,"Women"
2017,"2017","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",54,"iowa-state-university",2,"Women"
2017,"2017","153603","Iowa State University","520801","General Finance",71,"iowa-state-university",2,"Women"
2017,"2017","153603","Iowa State University","521401","General Marketing & Marketing Management",157,"iowa-state-university",2,"Women"
2016,"2016","153603","Iowa State University","110103","Information Technology",13,"iowa-state-university",1,"Men"
2016,"2016","153603","Iowa State University","141901","Mechanical Engineering",323,"iowa-state-university",1,"Men"
2016,"2016","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",109,"iowa-state-university",1,"Men"
2016,"2016","153603","Iowa State University","520801","General Finance",156,"iowa-state-university",1,"Men"
2016,"2016","153603","Iowa State University","521401","General Marketing & Marketing Management",126,"iowa-state-university",1,"Men"
2016,"2016","153603","Iowa State University","110103","Information Technology",6,"iowa-state-university",2,"Women"
2016,"2016","153603","Iowa State University","141901","Mechanical Engineering",35,"iowa-state-university",2,"Women"
2016,"2016","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",53,"iowa-state-university",2,"Women"
2016,"2016","153603","Iowa State University","520801","General Finance",83,"iowa-state-university",2,"Women"
2016,"2016","153603","Iowa State University","521401","General Marketing & Marketing Management",125,"iowa-state-university",2,"Women"
2015,"2015","153603","Iowa State University","110103","Information Technology",8,"iowa-state-university",1,"Men"
2015,"2015","153603","Iowa State University","141901","Mechanical Engineering",291,"iowa-state-university",1,"Men"
2015,"2015","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",105,"iowa-state-university",1,"Men"
2015,"2015","153603","Iowa State University","520801","General Finance",124,"iowa-state-university",1,"Men"
2015,"2015","153603","Iowa State University","521401","General Marketing & Marketing Management",113,"iowa-state-university",1,"Men"
2015,"2015","153603","Iowa State University","110103","Information Technology",3,"iowa-state-university",2,"Women"
2015,"2015","153603","Iowa State University","141901","Mechanical Engineering",25,"iowa-state-university",2,"Women"
2015,"2015","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",37,"iowa-state-university",2,"Women"
2015,"2015","153603","Iowa State University","520801","General Finance",67,"iowa-state-university",2,"Women"
2015,"2015","153603","Iowa State University","521401","General Marketing & Marketing Management",121,"iowa-state-university",2,"Women"
2014,"2014","153603","Iowa State University","110103","Information Technology",2,"iowa-state-university",1,"Men"
2014,"2014","153603","Iowa State University","141901","Mechanical Engineering",262,"iowa-state-university",1,"Men"
2014,"2014","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",90,"iowa-state-university",1,"Men"
2014,"2014","153603","Iowa State University","520801","General Finance",162,"iowa-state-university",1,"Men"
2014,"2014","153603","Iowa State University","521401","General Marketing & Marketing Management",79,"iowa-state-university",1,"Men"
2014,"2014","153603","Iowa State University","110103","Information Technology",1,"iowa-state-university",2,"Women"
